code,title,session,career,units,delivery_type
BIOL6161,Genes: Replication and Expression,First Semester,Postgraduate,6,In Person
BIOL2161,Genes: Replication and Expression,First Semester,Undergraduate,6,In Person
BIOL2151,Genetics,First Semester,Undergraduate,6,In Person
BIOL6006,Genetics,First Semester,Postgraduate,6,In Person
BIOL3204,Genetics of Human Disease,First Semester,Undergraduate,6,In Person
BIOL6204,Genetics of Human Disease,First Semester,Postgraduate,6,In Person
POLS2100,Genocide in the Modern World,Second Semester,Undergraduate,6,In Person
BIOL6205,Genomic Medicine,Second Semester,Postgraduate,6,In Person
BIOL3205,Genomic Medicine,Second Semester,Undergraduate,6,In Person
BIOL3161,Genomics and its Applications,First Semester,Undergraduate,6,In Person
BIOL6163,Genomics and its Applications,First Semester,Postgraduate,6,In Person
EMSC6019,Geobiology and Evolution of Life on Earth,First Semester,Postgraduate,6,In Person
EMSC3020,Geobiology and Evolution of Life on Earth,First Semester,Undergraduate,6,In Person
EMSC6124,Geochemical Cycles,Second Semester,Postgraduate,6,In Person
EMSC2024,Geochemical Cycles,Second Semester,Undergraduate,6,In Person
NSPO8032,Geoeconomics and National Security,First Semester,Postgraduate,6,Online or In Person
MEAS8114,Geopolitics of Central Asia,First Semester,Postgraduate,6,Online or In Person
GERM2114,German Cultural Studies,First Semester / Second Semester,Undergraduate,6,In Person
GERM3114,German Cultural Studies Advanced,First Semester / Second Semester,Undergraduate,6,In Person
ARTV1350,Glass 1,First Semester / Second Semester,Undergraduate,6,In Person
ARTV2350,Glass 2,First Semester / Second Semester,Undergraduate,6,In Person
CBEA3066,Global Business Immersion,,Undergraduate,6,In Person
MKTG8035,Global Business Project,Second Semester,Postgraduate,6,In Person
POLS2133,Global Cooperation and Institutions,First Semester,Undergraduate,6,Online or In Person
HIST2211,Global Environmental History Since 1945,Second Semester,Undergraduate,6,In Person
INTR8080,Global Ethics,First Semester,Postgraduate,6,In Person
HLMD1002,Global Experiences in Health and Medicine,Summer Session,Undergraduate,6,In Person
SCNC1002,Global Experiences in Science,Summer Session / Autumn Session / Spring Session,Undergraduate,0,In Person
INTR8045,Global Governance,,Postgraduate,6,In Person
INTR3002,Global Governance in the Asia-Pacific,Second Semester,Undergraduate,6,In Person
BAPA3002,Global Governance in the Asia-Pacific,Spring Session,Undergraduate,6,Online or In Person
LAWS8582,Global Health Law,,Postgraduate,6,Online
CHMD8006,Global Health and Development,,Postgraduate,6,Online or In Person
LAWS8001,"Global Law, Justice and Development",,Postgraduate,6,Online or In Person
ASIA2097,Global Learning,Winter Session,Undergraduate,6,In Person
ASIA6097,Global Learning,,Postgraduate,6,In Person
FREN3109,"Global Paris: Culture, History and Identity in the French Capital",Autumn Session,Undergraduate,6,In Person
POPH8102,Global Population Health,Second Semester,Postgraduate,6,Online or In Person
POGO8078,Global Public Policy Challenges,Autumn Session,Postgraduate,6,Online
INTR8032,Global Security,Winter Session,Postgraduate,6,Online or In Person
ASIA5925,Global Semester,First Semester / Second Semester,Undergraduate,6,In Person
POGO8044,Global Social Policy,,Postgraduate,6,Online or In Person
HUMN2004,"Global Vietnam: Gender, Labour and Migration",Spring Session,Undergraduate,6,In Person
HUMN6004,"Global Vietnam: Gender, Labour and Migration",Spring Session,Postgraduate,6,In Person
ANTH8107,Global governance and the role of Multilateral Development Banks,,Postgraduate,6,Online or In Person
DEMO1001,Global population challenges,First Semester,Undergraduate,6,Online or In Person
POLS4032,Globalisation: the Interaction of Economics and Politics,,Undergraduate,6,In Person
GEND6034,"Going Public: Sex, Sexuality and Feminism",,Postgraduate,6,In Person
GEND2034,"Going Public: Sex, Sexuality and Feminism",,Undergraduate,6,In Person
REGN9053,Governance and Social Theory,Autumn Session,Postgraduate,6,Online or In Person
REGN8002,Governance and Social Theory,Autumn Session,Postgraduate,6,Online or In Person
REGN8022,Governance in a Complex and Uncertain World,,Postgraduate,6,Online or In Person
REGN8018,Governing Consumptogenic Systems,Winter Session,Postgraduate,3,Online or In Person
POGO8504,Governing Contemporary Public Policy,,Postgraduate,6,In Person
REGN8023,Governing Global Migration,,Postgraduate,6,Online or In Person
POGO8066,Governing by the Rules,Autumn Session,Postgraduate,6,In Person
POGO8212,Governing the Energy Transition,,Postgraduate,6,Online or In Person
LAWS8220,Government Contracts,,Postgraduate,6,Online or In Person
MGMT7067,Government Decision Making and Indigenous Communities in Contemporary Society,Summer Session,Postgraduate,6,In Person
POGO8064,Government in a Market Economy,Autumn Session,Postgraduate,6,In Person
IDEC8000,"Government, Markets and Global Change",First Semester,Postgraduate,6,Online or In Person
CRWF7900,Graduate Academic and Research Skills for Public Policy,Summer Session / Winter Session,Postgraduate,0,Online or In Person
MUSI8005,"Graduate Composition, Arranging, and Sound Design 2",,Postgraduate,12,In Person
MUSI8006,"Graduate Composition, Arranging, and Sound Design 3",,Postgraduate,12,In Person
IDEC7904,Graduate Preparatory Econometrics,Summer Session / Winter Session,Postgraduate,0,Online or In Person
CRWF7902,Graduate Preparatory Economics for Public Policy,Summer Session / Winter Session,Postgraduate,0,Online or In Person
EMDV7901,"Graduate Preparatory Environment, Development and Climate Studies",Summer Session / Winter Session,Postgraduate,0,Online or In Person
IDEC7902,Graduate Preparatory Mathematical Methods,Summer Session / Winter Session,Postgraduate,0,Online or In Person
POGO7901,"Graduate Preparatory Social, Political and Policy Analysis",Summer Session / Winter Session,Postgraduate,0,Online or In Person
LING8001,Graduate Reading Course (Linguistics),First Semester / Second Semester,Postgraduate,6,In Person
ARCH8038,Graduate Reading Course in Archaeological Science,Summer Session / First Semester / Autumn Session / Winter Session / Second Semester / Spring Session,Postgraduate,6,Online or In Person
LING2003,Grammar of the World's Languages,Second Semester,Undergraduate,6,In Person
LING6003,Grammar of the World's Languages,Second Semester,Postgraduate,6,In Person
STAT3011,Graphical Data Analysis,First Semester / Second Semester,Undergraduate,6,In Person
STAT4026,Graphical Data Analysis,First Semester / Second Semester,Undergraduate,6,In Person
STAT6026,Graphical Data Analysis,First Semester / Second Semester,Postgraduate,6,In Person
ENGL2222,"Great Writers: Special Topics in Gender, Authorship and History",,Undergraduate,6,In Person
ENGN4547,Grid Integration of Renewable and Storage Technologies,First Semester,Undergraduate,6,In Person
ENGN8170,Group Project,First Semester / Second Semester,Postgraduate,12,In Person
BIOL6108,Hallmarks of Cancer,Second Semester,Postgraduate,6,In Person
BIOL3108,Hallmarks of Cancer,Second Semester,Undergraduate,6,In Person
DIPL8010,Harnessing Diplomacy for International Development,Second Semester,Postgraduate,6,Online or In Person
ECON3004,Health Economics,Second Semester,Undergraduate,6,In Person
ECON6039,Health Economics,Second Semester,Postgraduate,6,In Person
CHMD6005,Health Humanities,Second Semester,Postgraduate,6,Online or In Person
CHMD2005,Health Humanities,Second Semester,Undergraduate,6,In Person
SOCY8006,Health Inequalities,First Semester,Postgraduate,6,Online or In Person
LAWS8237,"Health Law, Bioethics and Human Rights",Second Semester,Postgraduate,6,Online or In Person
LAWS4219,"Health Law, Bioethics and Human Rights",Second Semester,Undergraduate,6,In Person
SCOM3033,Health Promotion Principles and Practice,Second Semester,Undergraduate,6,In Person
